id,x,y,z,d,varx,vary,varz,vard,distance
3,-20.2879,0.652877,31.771,0.0143543,1.29285,0.483074,0.436649,0.000630388,0.398416
0,-4.95972,-2.87558,1.9833,0.0155478,0.430427,0.568581,0.282416,0.000644682,0.131839
0,-4.95452,-2.88188,1.98288,0.015663,0.437127,0.505137,0.293526,0.000648756,0.127725
0,-4.953,-2.8763,1.97911,0.0158467,0.451761,0.490431,0.274575,0.000655886,0.133967
1,-10.0437,1.15883,11.8827,0.0139114,0.712032,0.344292,0.331448,0.00053157,0.202207
1,-10.0506,1.16559,11.874,0.0139691,0.723396,0.269231,0.34241,0.000531511,0.214156
1,-10.0498,1.15157,11.8863,0.0140671,0.734215,0.259253,0.317616,0.000529156,0.195915
2,-13.8192,10.0964,18.0184,0.0151564,1.06529,0.203694,0.438868,0.000692278,0.205722
2,-13.8195,10.09,18.0172,0.0153016,1.06312,0.189415,0.447996,0.000692457,0.202418
2,-13.8207,10.096,18.0112,0.0155348,1.07814,0.165409,0.41331,0.000707464,0.203641
3,-20.2897,0.650171,31.7723,0.0145152,1.29856,0.464117,0.420041,0.000631194,0.397884
3,-20.2864,0.645978,31.7631,0.0147318,1.30345,0.474581,0.418143,0.00063651,0.399291
3,-20.2858,0.647203,31.7645,0.0146743,1.30993,0.379025,0.422307,0.000621254,0.398506
0,-4.95522,-2.87414,1.98243,0.0160812,0.458705,0.496695,0.272424,0.000666417,0.13474
0,-4.95016,-2.87933,1.98027,0.0161254,0.464352,0.442102,0.283221,0.000666308,0.13204
0,-4.95093,-2.87292,1.9718,0.0161664,0.480342,0.431219,0.262332,0.000660236,0.139117
1,-10.0526,1.15121,11.8777,0.0141263,0.729584,0.270273,0.305759,0.000527337,0.201454
1,-10.0501,1.15511,11.8703,0.0141259,0.731521,0.215238,0.314862,0.000522466,0.208293
1,-10.0439,1.14653,11.8816,0.0142761,0.739691,0.210732,0.296565,0.000523916,0.193414
2,-13.8198,10.0978,18.0101,0.0156333,1.08745,0.169399,0.407323,0.000705276,0.205318
2,-13.8178,10.0927,18.0095,0.0157702,1.10037,0.160455,0.416856,0.000701839,0.204647
2,-13.8165,10.0952,18.0068,0.0158948,1.12434,0.143933,0.397484,0.000704217,0.20684
3,-20.2877,0.646058,31.7656,0.0149428,1.31345,0.368906,0.411418,0.000630653,0.398813
3,-20.2872,0.644151,31.7584,0.0150957,1.31961,0.374726,0.410336,0.000632488,0.402049
3,-20.2879,0.642694,31.7578,0.0151293,1.32881,0.314678,0.415424,0.000626513,0.402423
0,-4.94791,-2.87081,1.97749,0.0163686,0.486284,0.439145,0.262061,0.000670081,0.1411
0,-4.94268,-2.8775,1.97943,0.0165326,0.492314,0.396391,0.274454,0.000681521,0.136802
0,-4.94229,-2.87138,1.97229,0.0166133,0.507313,0.38711,0.259617,0.000681213,0.143665
1,-10.0503,1.14603,11.8765,0.0143649,0.739375,0.220344,0.287685,0.000519783,0.19774
1,-10.0533,1.15066,11.8698,0.014376,0.74688,0.181144,0.299479,0.000516001,0.206147
1,-10.0523,1.14426,11.8769,0.0145239,0.751022,0.180768,0.286192,0.000514892,0.196725
2,-13.8157,10.0958,18.0101,0.0159766,1.134,0.148976,0.394398,0.00070286,0.207946
2,-13.8122,10.0866,18.009,0.0160842,1.13576,0.141016,0.401772,0.000698927,0.207001
2,-13.811,10.0901,18.0055,0.0161637,1.1602,0.131281,0.390001,0.000698332,0.209437
3,-20.2914,0.642677,31.758,0.0153339,1.33937,0.304966,0.410521,0.000629099,0.404785
3,-20.2873,0.641284,31.7533,0.015428,1.34774,0.313595,0.412185,0.000623526,0.404177
3,-20.2907,0.643238,31.7547,0.0154099,1.36677,0.271445,0.41908,0.000620742,0.406442
0,-4.93938,-2.86646,1.97693,0.0167457,0.513743,0.394999,0.25431,0.000682343,0.14846
0,-4.93416,-2.87687,1.97475,0.0169276,0.522237,0.35973,0.264696,0.000686162,0.141889
0,-4.93645,-2.87352,1.96971,0.0169843,0.535623,0.354436,0.254212,0.000688938,0.144756
1,-10.0609,1.14146,11.8665,0.0147069,0.745392,0.192188,0.279132,0.000523032,0.203806
1,-10.0621,1.14692,11.8631,0.0147898,0.758157,0.161839,0.289298,0.000521461,0.210214
1,-10.0623,1.14299,11.8682,0.0149788,0.761863,0.163448,0.282191,0.00052859,0.204179
2,-13.8108,10.0909,18.0083,0.0162092,1.17089,0.137763,0.388225,0.00069174,0.210023
2,-13.8155,10.0852,18.0043,0.016281,1.17489,0.131439,0.397418,0.000689475,0.203248
2,-13.8142,10.0876,18.0023,0.0164117,1.18991,0.125372,0.389716,0.000690798,0.205418
3,-20.2916,0.643102,31.7535,0.0155326,1.36635,0.270404,0.415281,0.000621129,0.40773
3,-20.29,0.638754,31.7465,0.0157028,1.36813,0.278967,0.41625,0.000621849,0.409446
3,-20.2877,0.63667,31.7461,0.0158734,1.37983,0.247924,0.420031,0.000629322,0.407364
0,-4.93926,-2.87454,1.97417,0.0171057,0.5427,0.365362,0.252488,0.000692319,0.141761
0,-4.93595,-2.87842,1.974,0.0172274,0.552263,0.333577,0.260729,0.000692681,0.139858
0,-4.93377,-2.87144,1.96533,0.0172446,0.56558,0.33223,0.253613,0.000685358,0.14872
1,-10.0676,1.14208,11.8606,0.0150053,0.760673,0.17292,0.271288,0.000525492,0.210205
1,-10.0614,1.14215,11.86,0.0150804,0.767146,0.148484,0.279415,0.000526498,0.208785
1,-10.066,1.13535,11.8644,0.0151905,0.773657,0.151904,0.274145,0.000527674,0.202643
2,-13.8156,10.0879,18.0028,0.016455,1.20086,0.131376,0.389826,0.000689998,0.204287
2,-13.8125,10.0808,18.0022,0.0165063,1.21127,0.127198,0.400929,0.000693819,0.204182
2,-13.8124,10.0845,17.9985,0.0165917,1.22374,0.122628,0.39575,0.000700862,0.205779
3,-20.2872,0.635845,31.7449,0.0159308,1.38928,0.244963,0.422046,0.000625117,0.407435
3,-20.2834,0.632358,31.7385,0.0160699,1.39434,0.253514,0.421976,0.000621372,0.407724
3,-20.2802,0.633621,31.7449,0.015996,1.40778,0.231329,0.428975,0.000623164,0.401766
