N,x,y,z,d,varx,vary,varz,vard,distance
1300,-10.1231,0.757168,9.83045,0.0306061,0.0816768,0.137856,0.137342,0.00354129,0.331712
1300,-10.1375,0.715532,9.82073,0.0384533,0.0558612,0.116013,0.0857731,0.00440328,0.31227
1300,-10.1369,0.679142,9.83194,0.0455167,0.0479516,0.10588,0.0716613,0.00528006,0.281214
1400,-9.88022,0.579743,10.0796,0.00695572,0.213392,1.31144,0.647422,0.000928567,0.16447
1400,-9.87515,0.623011,10.1416,0.0193744,0.119467,0.654872,0.137198,0.00191784,0.225307
1400,-9.88231,0.499256,10.1318,0.0272368,0.0860169,0.497972,0.100428,0.00285923,0.176731
1400,-9.88603,0.431432,10.1183,0.0335703,0.0660151,0.381808,0.0842423,0.00389551,0.178011
1400,-9.89965,0.394117,10.1046,0.0399214,0.0511038,0.303046,0.0751156,0.0048645,0.179485
1500,-9.35103,-0.348108,11.1892,0.00175741,1.14767,1.46403,1.99909,0.000575412,1.59833
1500,-10.0528,0.483464,9.95777,0.0154293,0.302153,0.430121,0.342369,0.00160957,0.069594
1500,-10.1266,0.539748,9.86259,0.0254937,0.152802,0.265715,0.194149,0.00284331,0.191011
1500,-10.1182,0.538386,9.86964,0.0347735,0.105727,0.188914,0.138841,0.0043596,0.180138
1500,-10.1035,0.527274,9.8791,0.0430555,0.0807133,0.138734,0.11057,0.00554448,0.161455
1600,-10.0111,0.731892,9.83771,0.00807643,0.450415,2.20317,1.82982,0.000953733,0.283256
1600,-9.99869,0.867785,9.98892,0.0207986,0.266688,1.26651,0.55105,0.00211094,0.367954
1600,-10.0334,0.874819,9.95707,0.0348772,0.161288,0.804862,0.280331,0.00387516,0.378744
1600,-10.0677,0.83632,9.92543,0.0465282,0.112088,0.529601,0.185692,0.00551464,0.351074
1600,-10.0935,0.789549,9.89219,0.0584875,0.0834602,0.379056,0.141169,0.00712478,0.322802
1700,-9.82923,0.286549,10.2193,0.00563566,0.128205,0.79067,0.440157,0.000811878,0.350477
1700,-9.91021,0.346601,10.1094,0.0185729,0.0480022,0.196697,0.0872777,0.00181465,0.208726
1700,-9.91511,0.368665,10.0977,0.028203,0.0362829,0.142823,0.0547889,0.00298266,0.184373
1700,-9.91898,0.373607,10.0878,0.0355475,0.0331479,0.119245,0.0461875,0.00407054,0.173925
1700,-9.92346,0.38196,10.0766,0.044543,0.0307067,0.10441,0.0423489,0.00518905,0.160181
1800,-10.1666,0.326619,9.47077,0.00402569,0.238591,0.939983,0.567357,0.000762125,0.581281
1800,-10.0144,0.495791,9.91402,0.0180966,0.094169,0.378631,0.172783,0.00186708,0.0872724
1800,-9.96463,0.542911,10.0159,0.025369,0.0632787,0.208409,0.107249,0.00288569,0.0578452
1800,-9.94702,0.5587,10.0552,0.0367865,0.0480743,0.14343,0.0794958,0.00399644,0.0964515
1800,-9.93965,0.55873,10.0744,0.0445866,0.0398435,0.114594,0.0622699,0.00545252,0.112354
1900,-9.61929,0.366795,10.4564,0.00560137,0.194613,1.05851,0.732493,0.000727099,0.609102
1900,-9.73277,0.292266,10.2529,0.0169933,0.12895,0.780481,0.335157,0.00190642,0.422509
1900,-9.80257,0.376621,10.1969,0.0316112,0.0929054,0.615458,0.20121,0.00358993,0.304894
1900,-9.84295,0.486655,10.1769,0.0412649,0.0724022,0.467294,0.132818,0.00509087,0.236922
1900,-9.87428,0.559689,10.1561,0.0512464,0.0597743,0.349272,0.0951415,0.00645737,0.209119
2000,-9.52645,0.525832,10.8198,0.00678054,0.214149,1.70628,0.696997,0.000850354,0.947099
2000,-9.75025,-0.202453,10.2219,0.0185885,0.0608694,0.326816,0.11728,0.001957,0.777858
2000,-9.78482,-0.123773,10.1516,0.0270036,0.0440725,0.179832,0.0812577,0.00307985,0.677039
2000,-9.81765,-0.0339713,10.1162,0.0377102,0.04035,0.151129,0.0681101,0.00420524,0.576081
2000,-9.84925,0.0437284,10.0945,0.0445541,0.0370494,0.137856,0.0597194,0.00565473,0.489743
2100,-10.0471,0.245584,9.9599,0.00965747,0.270093,1.96854,0.897042,0.0010639,0.261828
2100,-10.1097,0.466076,9.92599,0.0189888,0.10868,0.464089,0.22031,0.0019787,0.136595
2100,-10.0854,0.611928,9.96322,0.0314138,0.0698921,0.228388,0.124449,0.00334044,0.14553
2100,-10.0705,0.654959,9.97083,0.0426115,0.0559751,0.146857,0.0893905,0.0049178,0.172718
2100,-10.0566,0.656242,9.97354,0.051375,0.0490274,0.117875,0.0728795,0.00618485,0.168278
2200,-9.96862,0.770084,10.2001,0.00866389,0.240526,0.493674,0.532322,0.00109294,0.337617
2200,-9.97063,0.740123,10.1079,0.0229702,0.125895,0.292472,0.171786,0.00236192,0.264905
2200,-9.97517,0.723039,10.0916,0.034969,0.0826016,0.211864,0.102989,0.00363182,0.242386
2200,-9.98686,0.712697,10.0747,0.0448864,0.060946,0.167839,0.0765898,0.00543284,0.225828
2200,-9.99306,0.704492,10.053,0.0556198,0.047687,0.141178,0.0605083,0.00700155,0.211359
2300,-9.56035,-0.822727,10.3952,0.00493383,0.206684,0.816285,0.488011,0.000761869,1.44881
2300,-9.67763,-0.1975,10.2409,0.0177164,0.0953222,0.693336,0.141879,0.00155384,0.80528
2300,-9.77256,0.222262,10.1992,0.0272226,0.0715321,0.472697,0.108971,0.00282558,0.410552
2300,-9.83879,0.407619,10.163,0.0369341,0.0568847,0.283938,0.091553,0.00455809,0.247189
2300,-9.87506,0.483841,10.1392,0.0450393,0.0484062,0.187619,0.0766345,0.00569949,0.187737
2400,-9.97217,0.47901,10.0337,0.0058533,0.178336,0.315561,0.487016,0.00087084,0.0484882
2400,-9.93308,0.541379,10.1027,0.0195069,0.0722929,0.177968,0.114972,0.00207931,0.129387
2400,-9.95055,0.560675,10.075,0.0300848,0.0556576,0.14933,0.0842799,0.00332666,0.108392
2400,-9.96102,0.576145,10.0572,0.0394839,0.0465703,0.12655,0.0699853,0.00474935,0.102922
2400,-9.96551,0.583752,10.0478,0.0477588,0.0412929,0.10623,0.06284,0.00582023,0.102421
2500,-9.87491,0.183099,10.1608,0.0107594,0.233233,0.789698,0.690681,0.00113032,0.376716
2500,-10.0174,0.143054,9.89951,0.0229458,0.0961613,0.436088,0.171583,0.00221769,0.371229
2500,-10.0317,0.261791,9.91139,0.0326628,0.0722554,0.329932,0.119014,0.00362239,0.256128
2500,-10.0315,0.342744,9.92658,0.0404529,0.0615842,0.255258,0.0977794,0.00490229,0.17638
2500,-10.0297,0.389419,9.9384,0.0496372,0.0538375,0.202906,0.0836532,0.00600978,0.130029
2600,-10.1695,0.236964,9.61791,0.00694522,0.161554,0.765712,0.405707,0.000921016,0.493882
2600,-10.096,0.386431,9.8626,0.0169841,0.0964376,0.306046,0.16774,0.00175027,0.202467
2600,-10.0593,0.426298,9.91755,0.0254992,0.0707778,0.18811,0.11562,0.00279745,0.125466
2600,-10.0386,0.439933,9.94524,0.0353316,0.0570729,0.142877,0.0919014,0.00404071,0.0899951
2600,-10.0256,0.450782,9.96456,0.0442447,0.0493191,0.121136,0.0745982,0.00523097,0.0658339
2700,-9.90593,0.24626,9.96775,0.00970365,0.255743,0.875408,0.472705,0.00110889,0.27253
2700,-9.95185,0.225902,9.94757,0.0223653,0.136594,0.400766,0.201485,0.00222707,0.28319
2700,-9.97748,0.206426,9.92339,0.0316612,0.0882085,0.247925,0.139538,0.00319697,0.304241
2700,-9.997,0.211089,9.91403,0.0410591,0.0675589,0.178136,0.106341,0.00458785,0.301445
2700,-10.0126,0.221741,9.90699,0.049113,0.0532164,0.136826,0.0828249,0.00603792,0.293664
